iter	Passed	Remaining
600	43035	28570
601	43101	28495
602	43163	28417
603	43235	28346
604	43305	28273
605	43374	28200
606	43445	28128
607	43517	28057
608	43591	27987
609	43656	27911
610	43727	27839
611	43796	27766
612	43867	27694
613	43945	27626
614	44014	27553
615	44082	27480
616	44156	27409
617	44226	27337
618	44289	27260
619	44353	27184
620	44424	27112
621	44491	27038
622	44558	26963
623	44618	26885
624	44689	26813
625	44760	26742
626	44832	26670
627	44907	26601
628	44976	26528
629	45056	26461
630	45122	26387
631	45193	26315
632	45265	26244
633	45332	26170
634	45411	26102
635	45476	26027
636	45543	25953
637	45629	25889
638	45690	25812
639	45760	25740
640	45832	25668
641	45903	25597
642	45975	25526
643	46039	25450
644	46108	25377
645	46168	25299
646	46246	25231
647	46325	25164
648	46399	25094
649	46473	25024
650	46544	24952
651	46622	24884
652	46694	24812
653	46769	24743
654	46839	24671
655	46906	24597
656	46973	24523
657	47038	24448
658	47103	24373
659	47171	24300
660	47238	24226
661	47309	24155
662	47375	24080
663	47449	24010
664	47514	23936
665	47581	23862
666	47651	23790
667	47721	23717
668	47832	23665
669	47919	23602
670	47990	23530
671	48057	23456
672	48126	23383
673	48192	23309
674	48259	23236
675	48329	23163
676	48398	23091
677	48478	23023
678	48552	22953
679	48624	22882
680	48693	22809
681	48768	22739
682	48848	22671
683	48927	22603
684	49022	22543
685	49090	22469
686	49162	22398
687	49241	22330
688	49313	22259
689	49380	22185
690	49457	22116
691	49523	22042
692	49599	21972
693	49671	21901
694	49740	21828
695	49811	21756
696	49894	21690
697	49961	21616
698	50024	21541
699	50101	21472
700	50171	21400
701	50240	21327
702	50308	21254
703	50375	21180
704	50446	21108
705	50513	21035
706	50586	20964
707	50645	20887
708	50714	20815
709	50782	20741
710	50852	20669
711	50927	20599
712	50996	20527
713	51069	20456
714	51136	20383
715	51206	20310
716	51284	20242
717	51354	20169
718	51420	20096
719	51492	20025
720	51559	19951
721	51629	19879
722	51696	19806
723	51767	19734
724	51830	19659
725	51898	19587
726	51969	19515
727	52037	19442
728	52104	19369
729	52175	19297
730	52246	19225
731	52318	19154
732	52391	19084
733	52459	19011
734	52529	18939
735	52606	18869
736	52680	18799
737	52751	18727
738	52819	18654
739	52892	18583
740	52965	18512
741	53030	18439
742	53088	18363
743	53152	18288
744	53211	18213
745	53292	18145
746	53374	18077
747	53446	18006
748	53519	17935
749	53594	17864
750	53670	17795
751	53735	17721
752	53811	17651
753	53879	17578
754	53950	17507
755	54029	17438
756	54100	17366
757	54168	17293
758	54243	17223
759	54310	17150
760	54378	17078
761	54445	17005
762	54515	16933
763	54587	16862
764	54655	16789
765	54728	16718
766	54802	16647
767	54872	16576
768	54943	16504
769	55004	16430
770	55073	16357
771	55144	16286
772	55210	16213
773	55279	16140
774	55346	16068
775	55417	15996
776	55490	15925
777	55565	15855
778	55641	15785
779	55705	15711
780	55777	15640
781	55850	15569
782	55918	15497
783	55990	15425
784	56060	15354
785	56129	15282
786	56205	15211
787	56286	15143
788	56355	15071
789	56429	15000
790	56520	14934
791	56587	14861
792	56679	14795
793	56744	14722
794	56819	14651
795	56888	14579
796	56978	14512
797	57043	14439
798	57113	14367
799	57182	14295
800	57259	14225
801	57337	14155
802	57417	14086
803	57486	14014
804	57560	13943
805	57627	13870
806	57698	13799
807	57770	13727
808	57838	13655
809	57915	13585
810	57997	13516
811	58073	13445
812	58149	13375
813	58219	13303
814	58288	13231
815	58355	13158
816	58428	13087
817	58496	13015
818	58568	12943
819	58635	12871
820	58709	12800
821	58775	12727
822	58845	12655
823	58918	12584
824	58997	12514
825	59068	12442
826	59135	12370
827	59207	12299
828	59279	12227
829	59347	12155
830	59422	12084
831	59492	12012
832	59562	11941
833	59632	11869
834	59702	11797
835	59780	11727
836	59853	11656
837	59925	11584
838	59992	11512
839	60070	11442
840	60137	11369
841	60209	11298
842	60297	11229
843	60367	11157
844	60437	11086
845	60511	11015
846	60588	10944
847	60658	10872
848	60728	10801
849	60801	10729
850	60866	10657
851	60946	10586
852	61043	10519
853	61109	10447
854	61184	10376
855	61261	10305
856	61332	10233
857	61405	10162
858	61473	10090
859	61545	10019
860	61618	9947
861	61705	9878
862	61775	9806
863	61857	9736
864	61935	9666
865	62002	9593
866	62068	9521
867	62138	9449
868	62209	9378
869	62274	9305
870	62351	9234
871	62419	9162
872	62492	9091
873	62561	9019
874	62629	8947
875	62695	8874
876	62761	8802
877	62828	8730
878	62898	8658
879	62966	8586
880	63032	8514
881	63099	8441
882	63171	8370
883	63242	8298
884	63311	8226
